word,drm_list,cb_list,position,item,list_BAS,list_valence,list_arousal,valence,arousal,emotion
girl,pretty,A,3,target,0.16,NaN,NaN,NaN,NaN,positive
flower,pretty,A,4,target,0.16,NaN,NaN,NaN,NaN,positive
gorgeous,pretty,A,5,target,0.16,NaN,NaN,NaN,NaN,positive
dress,pretty,A,6,target,0.16,NaN,NaN,NaN,NaN,positive
model,pretty,A,7,target,0.16,NaN,NaN,NaN,NaN,positive
pink,pretty,A,8,target,0.16,NaN,NaN,NaN,NaN,positive
appealing,pretty,A,9,target,0.16,NaN,NaN,NaN,NaN,positive
sweet,pretty,A,10,target,0.16,NaN,NaN,NaN,NaN,positive
charming,pretty,A,11,related,0.16,NaN,NaN,NaN,NaN,positive
god,god,A,0,critical,0.27,NaN,NaN,5.9,5.56,positive
jesus,god,A,1,target,0.27,NaN,NaN,NaN,NaN,positive
paradise,god,A,2,target,0.27,NaN,NaN,NaN,NaN,positive
almighty,god,A,3,target,0.27,NaN,NaN,NaN,NaN,positive
church,god,A,4,target,0.27,NaN,NaN,NaN,NaN,positive
lord,god,A,5,target,0.27,NaN,NaN,NaN,NaN,positive
religion,god,A,6,target,0.27,NaN,NaN,NaN,NaN,positive
creator,god,A,7,target,0.27,NaN,NaN,NaN,NaN,positive
All-knowing,god,A,8,target,0.27,NaN,NaN,NaN,NaN,positive
bible,god,A,9,target,0.27,NaN,NaN,NaN,NaN,positive
holy,god,A,10,target,0.27,NaN,NaN,NaN,NaN,positive
faith,god,A,11,related,0.27,NaN,NaN,NaN,NaN,positive
hug,hug,A,0,critical,0.15,NaN,NaN,8.23,4.85,positive
embrace,hug,A,1,target,0.15,NaN,NaN,NaN,NaN,positive
affection,hug,A,2,target,0.15,NaN,NaN,NaN,NaN,positive
hold,hug,A,3,target,0.15,NaN,NaN,NaN,NaN,positive
cuddle,hug,A,4,target,0.15,NaN,NaN,NaN,NaN,positive
squeeze,hug,A,5,target,0.15,NaN,NaN,NaN,NaN,positive
arms,hug,A,6,target,0.15,NaN,NaN,NaN,NaN,positive
